ID;Name;Beschreibung;Art;Ort_Name;Adresse;Latitude;Longitude;Preis_Ca;Preis_Info;Wetter_Praeferenz;Datum_Von;Datum_Bis;Indoor_Outdoor;Zielgruppe;Dauer_Info;Website;Kontakt_Telefon;Booking_Info;Image_URL
76;Wanderung Hundwiler Höhe;Diese Wanderroute führt über grüne Hügel mit traditioneller Appenzeller Architektur bis zur Hundwiler Höhe. Der Weg ist mäßig anspruchsvoll und sehr beliebt für Tagesausflüge. Die Aussicht reicht bis zu den Alpen und zum Bodensee.;Natur;Hundwil;Hundwillerhöche;47.34138452;9.333075456;;;Nur Sonne;;;Outdoor;Naturfreunde, Sportliche, Wanderer;3 Stunden;https://www.hundwilerhoehe.ch/;0713671216;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipO1xF7luWz4Q7g9lYrQZu-Q_lPpticVzrHRXOEW=w408-h306-k-no
77;Scooter fahren Ruhesitz;Am Ruhesitz bei Brülisau kannst du nach einer Wanderung mit dem Trottinett rasant ins Tal fahren. Die Strecke ist sicher, kurvenreich und macht besonders Kindern großen Spaß. Ein sportlich-spielerischer Abschluss für den Tag.;Familie;Brülisau;Rossbergstrasse 27;47.2928672;9.478470516;16;pro Person;Nur Sonne;15.04.2025;15.10.2025;Outdoor;Familie, Studenten, Touristen, Sportliche;2 Stunden;http://ruhesitz.ch/;0717991167;Nicht nötig;https://www.appenzell.ch/fileadmin/_processed_/e/6/csm_Berggasthaus_Alpstein_Ruhesitz_Trottinett__1__5614a5a24d.jpg
78;Shopping Arena St. Gallen;Die Shopping Arena ist das größte Einkaufszentrum der Ostschweiz und bietet über 50 Geschäfte, Gastronomie und Dienstleistungen. Das moderne Gebäude liegt direkt unter dem Kybunpark-Stadion. Ein idealer Ort für Shoppingfans und Familienausflüge bei jedem Wetter.;Shopping;St. Gallen;Zürcherstrasse 464;47.40834756;9.305720962;;;Egal;;;Indoor;Familie, Touristen, Studenten, Jugendliche, Freunde;4 Stunden;http://www.shopping-arena.ch/;0713141313;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipOwjp4Vi6XuMV2lhbeS4o56b9HgbRykDx0oJVOO=w408-h271-k-no
79;Tennisclub St. Gallen;Der traditionsreiche Tennisclub St. Gallen bietet gepflegte Außen- und Hallenplätze für Spieler aller Niveaus. Neben Trainingsmöglichkeiten gibt es ein Clubhaus mit Gastronomie. Ein Treffpunkt für Tennisfreunde und Sportbegeisterte der Region.;Sport;St. Gallen;Gatterstrasse 10;47.43359581;9.373021946;30;pro Stunde (hängt von Saison ab), Reduktionen verfügbar;Egal;;;Indoor;Freunde, Sportliche, Studenten;1 Stunde;https://tcsg.ch/;0712226210;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipOEjEW4Cee5EvfqgWb7vnrW8XsbW9dWSxUAybv4=w493-h240-k-no
80;Tennisclub Gründenmoos;Am Stadtrand von St. Gallen gelegen, überzeugt der TC Gründenmoos mit moderner Infrastruktur und großer Platzanzahl. Die Anlage ist auch für Mannschaftswettbewerbe geeignet. Ein beliebter Ort für Sport, Training und Begegnung.;Sport;Abtwil;Gründenstrasse 34;47.41468507;9.307224181;30;pro Stunde;Egal;;;Mixed;Freunde, Sportliche, Studenten;1 Stunde;https://www.eversports.ch/sb/sportfeld-gruendenmoos;;Online buchen;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Y3iXcKZc2zuO2wCO_GB8Qg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=152.61864&pitch=0&thumbfov=100
81;Padel 7;Padel 7 ist eine der ersten Anlagen der Region, die den Trendsport Padel auf modernen Courts anbietet. Die Kombination aus Tennis und Squash begeistert durch Dynamik und einfache Spielbarkeit. Ein Hotspot für sportliche Gruppen und Events.;Sport;Thal;Knotternstrasse 7;47.48436198;9.548749866;64;pro Stunde;Egal;;;Indoor;Freunde, Sportliche, Studenten;1 Stunde;http://www.padel7.ch/;0718500707;Online buchen;https://lh3.googleusercontent.com/p/AF1QipNW5iHRfdUPFlJtkXKY_oxozSV4fHqFtQvIzaNW=w408-h306-k-no
82;Padel-Tenniscenter Schiltacker;Das Padel-Tenniscenter Schiltacker bietet großzügige Spielfelder, Kursangebote und eine lockere Community. Der Fokus liegt auf Spielspaß und gemeinsamer Aktivität. Ideal für Einsteiger und fortgeschrittene Spieler.;Sport;St. Gallen;St. Josefen-Strasse 58;47.4240237;9.340450465;60;pro Stunde;Egal;;;Indoor;Freunde, Sportliche, Studenten;1 Stunde;https://www.pointpadel.ch/;0763305220;Online buchen;https://lh3.googleusercontent.com/p/AF1QipPH4ORTtHz_Wge_E_jV0lEvHltDY-A0uAWuStkw=w408-h301-k-no
83;Padelwerk Säntispark;Im Padelwerk Säntispark treffen moderne Anlagen auf ein urbanes Sporterlebnis. Die zentrale Lage im Freizeitpark macht es zur attraktiven Option für Sport und Spaß. Auch Schnupperkurse und Firmenevents sind möglich.;Sport;Abtwil;Wiesenbachstrasse 7;47.41786782;9.31549567;48;pro Stunde;Nur Sonne;15.04.2025;15.10.2025;Outdoor;Freunde, Sportliche, Studenten;1 Stunde;https://padelwerk.ch/;0795982020;Online buchen;https://lh3.googleusercontent.com/p/AF1QipOqxO4QYT36cRX_nver87mxEdaTUVGRvv08N9Jw=w408-h306-k-no
84;Blue Cinema Scala;Das Scala-Kino im Zentrum von St. Gallen bietet Blockbuster, Arthouse-Filme und Originalfassungen in stilvollem Ambiente. Komfortable Sitze und moderne Technik garantieren ein angenehmes Filmerlebnis. Ein Klassiker für cineastische Abende.;Entertainment;St. Gallen;Bohl 1;47.42680052;9.376205152;22;pro Person;Egal;;;Indoor;Paare, Freunde, Jugendliche, Familie, Kinder, Senioren;2 Stunden;https://bluecinema.ch/de/cinemas-de/sankt-gallen-scala/?regionId=c11b037d-feaa-4371-a351-cbdf1af82b9b;0713139511;Online buchen;https://lh3.googleusercontent.com/p/AF1QipNcOPEBwZhtV6b4JCTteRDn8QDLAUeYXIqF6laD=w426-h240-k-no
85;Gübsensee;Der Gübsensee ist ein beliebter Naherholungsort mit Rundweg, Picknickplätzen und ruhiger Natur. Jogger, Spaziergänger und Familien genießen die entspannte Atmosphäre. Ein Rückzugsort am Rande der Stadt.;Natur;St. Gallen;;47.39849322;9.313358834;;;Nur Sonne;;;Outdoor;Familie, Studenten, Senioren, Naturfreunde, Paare, Sportliche;1 Stunde;http://www.guebsen.ch/;0712233000;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipPw1WKD6QpLCu6BkYs6zdVWWVvrPv09IRPga-II=w408-h724-k-no
86;Appenzeller Park;Der Appenzeller Park in Herisau zählt mit 2'300 m² zu den grössten Indoorspielplätzen der Ostschweiz und bietet ein vielseitiges Freizeitangebot für Kinder und Familien. Zu den Highlights gehören eine 23 Meter lange Holzburg, ein Klettervulkan, Trampoline, Elektrokarts, Karusselle und ein thematisch gestalteter Kleinkindbereich namens «Blumenwiese» . Ergänzt wird das Angebot durch den Kletterparcours «Clip’n Climb» mit über 30 farbenfrohen Kletterherausforderungen und den «Heavy Metal Garden» mit dem imposanten PC-8000-Bagger . Ein familienfreundliches Bistro mit 230 Sitzplätzen rundet das Erlebnis ab und macht den Park zu einem idealen Ausflugsziel bei jedem Wetter.;Action;Herisau;Hölzlistrasse 10;47.38969451;9.26948167;28;pro Person (Erwachsene);Egal;;;Mixed;Kinder, Touristen, Familie, Sportliche, Freunde, Jugendliche;2 Stunden;http://www.appenzellerpark.ch/;0715449966;Nicht nötig;https://appenzellerpark.ch/wp-content/uploads/2024/02/BW-Ausschnitt-6-1-e1707483789270.jpg
87;Wanderung Hochalp;Die Hochalp-Wanderung führt durch idyllische Landschaften mit Aussicht auf die Appenzeller Berge. Die Tour ist mäßig anspruchsvoll und familienfreundlich. Oben lockt eine Alpenbeiz mit regionaler Küche.;Sport;Urnäsch;;47.27582861;9.254626947;;;Nur Sonne;15.04.2025;15.10.2025;Outdoor;Wanderer, Naturfreunde, Sportliche;4 Stunden;;;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipPL93Ywiq30RvIwlRoSqDyl4WP4PuFE7Tt9QKyq=w426-h240-k-no
88;Paintball Arena;In der Paintball Arena erwartet dich actiongeladene Teamtaktik auf thematisch gestalteten Spielfeldern. Schutzkleidung und Ausrüstung sind vor Ort verfügbar. Ideal für Gruppen, Teamevents oder Junggesellenabschiede.;Action;Schänis;Witöfelistrasse;47.15348541;9.041605452;60;pro Person (Erwachsene);Egal;;;Mixed;Freunde, Sportliche, Firmen;2 Stunden;https://paintball-arena.ch/oz;0556151974;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipN_JEk9GnYbsNYcUO8Mg19cHaRq5DOdYUZdbfaK=w426-h240-k-no
89;Wanderung Alvier;Die Alvier-Wanderung ist eine hochalpine Tour mit steilem Anstieg und atemberaubender Aussicht vom Gipfel. Sie richtet sich an geübte Wanderer mit guter Kondition. Der Berg belohnt mit Stille und Natur pur.;Sport;Heiligkreuz;;47.11059479;9.414405325;;;Nur Sonne;15.06.2025;15.10.2025;Outdoor;Naturfreunde, Wanderer, Sportliche;6 Stunden;;;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipPtl5RbymNVUxB35QIDvG2ZY5NoRaVRvdkIsj3N=w408-h271-k-no
90;Golfpark Waldkirch;Der Golfpark Waldkirch bietet gepflegte 18-Loch- und 9-Loch-Anlagen mit Blick ins Grüne. Die Driving Range und das Clubhaus runden das Golferlebnis ab. Sowohl Anfänger als auch Profis finden hier ideale Bedingungen.;Sport;Waldkirch;Moos 1476;47.46404846;9.249390341;55;pro Person (Erwachsene);Nur Sonne;15.03.2025;15.10.2025;Outdoor;Sportliche, Naturfreunde, Senioren;4 Stunden;https://www.migrosgolf.ch/de/golfparks/waldkirch/uebersicht.html;0585684150;Platzreife notwendig;https://lh3.googleusercontent.com/p/AF1QipOiz6wAE3aNptNarocqLoSUyRjCWOfWwC1c4kjq=w408-h272-k-no
91;BBC butterbarcafe;Das BBC Butterbarcafe in Gossau ist eine lebendige Kombination aus Bar, Eventlocation und Treffpunkt für Nachtschwärmer. Mit seinen drei Floors bietet es Platz für unterschiedlichste Veranstaltungen – von Konzerten und DJ-Nächten bis hin zu Public Viewings. Geöffnet ist das BBC von Dienstag bis Samstag ab 16 Uhr, der Eintritt ist frei und ab 18 Jahren .;Genuss;Gossau;Güterschuppen, Bahnhofplatzstrasse;47.41211317;9.25591357;15;pro Person (variiert nach Bestellung);Egal;;;Mixed;Paare, Geniesser, Freunde, Studenten;2 Stunden;https://bbcgossau.ch/;0713834801;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipPYj-VZL8cmLbJBDQ4goVtybbDtwuSl_uyuVXPf=w408-h272-k-no
92;Säntispark Wellness Römisch-Irisches Bad;Die Wellnesswelt im Säntispark bietet Saunen, Dampfbäder und Ruheräume auf hohem Niveau. Besucher können entspannen, auftanken und sich verwöhnen lassen. Eine Oase der Ruhe mitten im Freizeitkomplex.;Wellness;Abtwil;Wiesenbachstrasse 9;47.4192033;9.315277666;83;pro Person (Erwachsene);Egal;;;Indoor;Paare, Studenten, Geniesser, Senioren;2.5 Stunden;https://saentispark-freizeit.ch/wellness/;0587125540;Online buchen;https://lh3.googleusercontent.com/p/AF1QipPFuu1qw9NO-gTxcziIwEzt98GrhXRFvph7DkFy=w408-h271-k-no
93;Mineralheilbad St. Margrethen;Das Mineralheilbad St. Margrethen ist eine moderne Wellnessoase mit über 300-jähriger Tradition, die 2016 neu eröffnet wurde. Das Bad bietet eine vielfältige Badewelt mit Innen- und Aussenbecken, darunter ein Vitalbad mit Massagedüsen, ein Fliessbad und eine Dampfgrotte. Die Saunawelt umfasst drei Bereiche – Osthitze, Westhitze und Südhitze – mit verschiedenen Saunen, Dampfbädern und Ruheräumen. Das mineralreiche Wasser stammt aus einer Quelle im Appenzeller Vorland und wird auf angenehme 36 °C erwärmt, um Entspannung und Regeneration zu fördern.;Wellness;St. Margrethen;Walzenhauserstrasse 2;47.45097181;9.635121968;39;pro Person;Egal;;;Indoor;Paare, Studenten, Geniesser, Senioren;4 Stunden;http://mineralheilbad.ch/;0717474000;Online buchen;https://lh3.googleusercontent.com/p/AF1QipO8uBSmBTmMd90Nbmfx5ym6sZ9NHmzoZn59ONzB=w408-h272-k-no
94;Tau Spa & Gym;Tau Spa & Gym vereint Fitness, Wellness und Design zu einem ganzheitlichen Erlebnis. Vom modernen Geräteraum bis zur stilvollen Sauna ist alles durchdacht. Für alle, die Sport und Erholung kombinieren wollen.;Wellness;St. Gallen;Rorschacher Str. 311;47.45090509;9.419695439;85;pro Person;Egal;;;Indoor;Paare, Studenten, Geniesser, Senioren;1 Tag;https://oberwaid.ch/hotel/wellness-fitness/tau-spa;0712820540;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipM3pBDS4Y_2Dmivndvn4adzsRGVAXt-5m2lYmwN=w408-h352-k-no
95;Weiere Sauna;Die Weiere Sauna liegt direkt an den Drei Weieren und besticht durch ihre natürliche Umgebung. Holzofen-Sauna, Tauchbecken und Panorama machen das Erlebnis besonders authentisch. Ein Rückzugsort für Ruhesuchende.;Wellness;St. Gallen;Dreilindenstrasse 50;47.42285347;9.39139584;28;pro Person;Egal;;;Indoor;Naturfreunde, Studenten, Geniesser, Senioren;3 Stunden;http://www.weieresauna.ch/;0715482020;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipOJc-RDDUIt6Lmo5TG6fcRkLe0kFNXKfq2FENE=w408-h278-k-no
96;Saurer Museum;Das Saurer Museum in Arbon widmet sich der Geschichte des Textilmaschinen- und Lastwagenherstellers Saurer. Ausgestellt werden historische Fahrzeuge, Maschinen und spannende Technikobjekte. Ideal für Technikfans und historisch Interessierte.;Kultur;Arbon;Weitegasse 8;47.51758626;9.437680639;10;pro Person (Erwachsene);Egal;;;Indoor;Touristen, Senioren, Kulturinteressierte;2 Stunden;https://www.saurermuseum.ch/;0794697140;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipNCRyhAuotLvRvcpStM_LY-HjhRcin9hzUDTp9d=w408-h306-k-no
97;Strandgarten;Der Strandgarten liegt direkt am Bodenseeufer und bietet mit Café, Liegewiese und Badezugang eine entspannte Sommerlocation. Hier treffen sich Sonnenanbeter, Familien und Spaziergänger. Besonders beliebt bei Sonnenuntergang.;Freizeit;Horn;Hafen West;47.50086333;9.449336112;15;pro Person (variiert nach Bestellung);Nur Sonne;15.04.2025;15.10.2025;Outdoor;Geniesser, Paare, Freunde;2 Stunden;https://www.strandgarten.ch/;;Online buchen;https://lh3.googleusercontent.com/p/AF1QipMrtMqlcB2MsxkjAbbvELXxl5xVmEiF47R8aAoz=w408-h306-k-no
98;Badeanlage Hörnlibuck;Die Badeanlage Hörnlibuck bei Romanshorn bietet einen direkten Zugang zum See, große Liegewiesen und Spielmöglichkeiten. Der flache Einstieg ins Wasser eignet sich gut für Familien mit Kindern. Perfekt für warme Tage und entspannte Stunden am Wasser.;Natur;Rorschacherberg;Churerstrasse;47.48033729;9.526244843;;;Nur Sonne;15.05.2025;30.10.2025;Outdoor;Geniesser, Senioren, Paare, Familie, Kinder;3 Stunden;https://rorschacherberg.ch/sport-freizeitanlage/badeanlage-hoernlibuck/;0718583031;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipM9L67ShOaBu_hkU7DG_oOZoLsFwuaAQ6kj-zw5=w408-h272-k-no
99;Fünfländerblick;Der Aussichtspunkt Fünfländerblick ermöglicht an klaren Tagen den Blick auf fünf Länder gleichzeitig – ein faszinierendes Panorama. Die Plattform liegt idyllisch oberhalb des Bodensees. Ein beliebtes Ziel für Spaziergänger und Fotografen.;Freizeit;Grub SG;Rossbüchel 416;47.45681282;9.51447327;;;Nur Sonne;;;Outdoor;Familie, Kulturinteressierte, Senioren, Touristen;1 Stunde;https://appenzellerland.ch/de/erleben/erlebniskarte/familienerlebnisse/kinderwagenwege/eggersriet-fuenflaenderblick.html;;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipOQEfuplqdqx_SXNHUIHOBHzJq3gV9buQqucBC_=w408-h306-k-no
100;Chäserrugg;Der Chäserrugg ist ein markanter Gipfel in den Churfirsten und bequem per Bergbahn erreichbar. Oben erwarten dich ein Panoramaweg, eine architektonisch herausragende Bergstation und beeindruckende Weitsicht. Ein Highlight für Wanderer und Architekturfreunde.;Sport;Wildhaus;;47.15552475;9.313131255;62;pro Person (Erwachsene) Berg & Talfahrt;Nur Sonne;;;Outdoor;Naturfreunde, Touristen, Sportliche;3 Stunden;https://www.chaeserrugg.ch/en/opening-hours;0719986837;Online buchen;https://lh3.googleusercontent.com/p/AF1QipPSM3ZdPxfXLvO2gPZu2O0aPhPCcgTlYBVx-Q2q=w408-h272-k-no
101;Golf Gonten;Die Golfanlage Gonten kombiniert sportliche Herausforderung mit typisch appenzellischer Landschaft. Besonders die alpine Kulisse macht das Spiel hier einzigartig. Ein Ort, der Erholung und Bewegung vereint.;Sport;Gonten;Kaustrasse 1;47.33020486;9.365812081;60;pro Person;Nur Sonne;15.03.2025;15.10.2025;Outdoor;Sportliche, Naturfreunde, Senioren;4 Stunden;http://www.golfplatz.ch/;0717954060;Platzreife notwendig;https://lh3.googleusercontent.com/p/AF1QipO4JfcFfnwQKKLSegh31seau9-PEJ3Zc5aEMkpB=w408-h306-k-no
102;Restaurant Candela;Das Restaurant Candela überzeugt mit mediterraner Küche in stilvoll-modernem Ambiente. Hier trifft Qualität auf Gastfreundschaft. Ein guter Ort für besondere Abende oder Geschäftsessen.;Genuss;St. Gallen;Sonnenstrasse 5;47.42989516;9.379479385;80;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Firma;2 Stunden;http://www.restaurantcandela.ch/;0712464646;Online buchen;https://lh3.googleusercontent.com/p/AF1QipPKjkDOovw72XumOoffYkcuIFYvUq5ZTnlDruiQ=w408-h544-k-no
103;Restaurant netts;Netts ist ein urbanes, trendiges Restaurant mit Fokus auf kreative Küche und regionale Produkte. Die offene Atmosphäre und stylische Einrichtung machen es zum Treffpunkt für junge Erwachsene. Besonders beliebt für Dinner mit Freunden oder Partnern.;Genuss;St. Gallen;St. Jakob-Strasse 35;47.4299759;9.378791051;80;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Firma;2 Stunden;http://www.netts.ch/;0712426677;Online buchen;https://lh3.googleusercontent.com/p/AF1QipMkJa16FqYF1RYZbdum0lRB_Yn8VTBDH257AyU_=w408-h272-k-no
104;Restaurant Al Capone;Das Al Capone ist ein italienisch- amerikanisches Restaurant mit rustikalem Charme und klassischen Gerichten. Pizza und Steak stehen im Mittelpunkt des Konzepts. Die Einrichtung erinnert an das Chicago der 20er-Jahre – ein Erlebnis für alle Sinne.;Genuss;St. Gallen;Bohl 1;47.42671902;9.376638239;40;pro Person (variiert nach Bestellung);Egal;;;Indoor;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://www.steakhouse-alcapone.ch/;0712234503;Online buchen;https://lh3.googleusercontent.com/p/AF1QipNFyw4dhKmvYH9qeaNox2pWjnvMGS7pcP-dRHow=w408-h272-k-no
105;Restaurant la bocca City;La Bocca bietet eine moderne Interpretation der italienischen Küche in zentraler Lage. Das elegante Interieur und die offene Küche schaffen eine lebendige Atmosphäre. Perfekt für Dates oder einen stilvollen Lunch.;Genuss;St. Gallen;Webergasse 9;47.4233901;9.375074641;30;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://labocca.ch/;0715112258;Online buchen;https://lh3.googleusercontent.com/p/AF1QipNe7Q_RBc0bLE_zdguV0C6mwz2dfTSqdlwxtNTY=w408-h257-k-no
106;Restaurant Burgermeister;Burgermeister steht für saftige Burger, kreative Toppings und hausgemachte Pommes. Die lässige Einrichtung und lockere Stimmung sprechen vor allem ein junges Publikum an. Ein Muss für Streetfood-Fans.;Genuss;St. Gallen;Spisergasse 41;47.42468581;9.379086056;25;pro Person (variiert nach Bestellung);Egal;;;Indoor;Geniesser, Paare, Freunde, Studenten;1 Stunde;https://www.burger-meister.ch/;0712201334;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipNAPS7X1fX5NNlw5nZJ0itB6dZ9GXS8YnOBAogd=w408-h306-k-no
107;Restaurant  Marktplatz;Direkt am St. Galler Marktplatz gelegen, verbindet dieses Restaurant Regionalität mit urbanem Flair. Mittags trifft man hier Geschäftsleute, abends genießt man gepflegte Küche in geselliger Runde. Ideal für jeden Tageszeitpunkt.;Genuss;St. Gallen;Neugasse 2;47.42583181;9.375588741;40;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://www.restaurant-marktplatz.ch/;0712223641;Online buchen;https://lh3.googleusercontent.com/p/AF1QipOWkEjiSz3SiE1huIdsSvsgUfUUp9Cth6Y8NQj3=w408-h306-k-no
108;Restaurant Gschwend;Das Gasthaus Gschwend bietet traditionelle Küche mit modernen Akzenten in gemütlicher Atmosphäre. Die Speisekarte wechselt saisonal und legt Wert auf Frische. Besonders beliebt bei Familien und Freunden.;Genuss;St. Gallen;Goliathgasse 7, 9000 St. Gallen;47.42697106;9.376175541;35;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://www.cafe-gschwend.ch/;0712286677;Über Telefonnummer reservieren;https://lh3.googleusercontent.com/p/AF1QipOvqUp41hxTXKHDmf2osMJqwVBV5zx92R7A7ADs=w408-h240-k-no-pi-0-ya337.6725-ro-0-fo100
109;Restaurant Lagerhaus;Das Restaurant Lagerhaus in St. Gallen vereint industrielle Eleganz mit kulinarischer Raffinesse. Im historischen Zollfreilager gelegen, bietet es ein urbanes Ambiente mit Loft-Charakter und einem einzigartigen Buchenholzgrill, auf dem Fleisch und Fisch in ihrer ursprünglichsten Form zubereitet werden. Die Speisekarte setzt auf frische, regionale Zutaten und hausgemachte Spezialitäten, wobei besonders das dry-aged Fleisch aus dem eigenen Kühlhaus hervorzuheben ist. Ein Highlight ist das Châteaubriand, das auf Wunsch am Tisch flambiert wird. Vegetarische Gerichte wie Ricotta-Ravioli oder Prosecco-Risotto runden das Angebot ab. Der Weinkeller fokussiert sich auf italienische Weine, ergänzt durch ausgewählte Tropfen aus der Schweiz und Europa . Mit seinem Stadtsaal im Obergeschoss eignet sich das Lagerhaus auch ideal für Events mit bis zu 150 Personen.;Genuss;St. Gallen;Davidstrasse 42;47.42006242;9.367480181;40;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://www.restaurantlagerhaus.ch/;0712237007;Online buchen;https://lh3.googleusercontent.com/p/AF1QipMKr_Uz2LXgr267brhIWwzI_jQO6ys-DJ7KzDU=w408-h272-k-no
110;Restaurant Brauwerk;Das Brauwerk verbindet stadteigene Bierbraukunst mit deftiger Küche in rustikaler Atmosphäre. Die offene Brauanlage ist Blickfang und Erlebnis zugleich. Ideal für Gruppen, Bierliebhaber und gemütliche Abende.;Genuss;St. Gallen;Bahnhofstrasse 19;47.42485463;9.371716083;35;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;https://www.restaurantbrauwerk.ch/;0712228590;Online buchen;https://lh3.googleusercontent.com/p/AF1QipMHPF-NGQozxkVrCSpP1Bj34dJpZ6g5VjNUp0K6=w408-h272-k-no
111;Restaurant Centogrammi Cucinabar;In der Centogrammi Cucinabar steht italienische Küche mit frischen Zutaten und kleinen Gerichten im Zentrum. Das stilvolle Interieur lädt zum Teilen und Verweilen ein. Perfekt für ein modernes „Aperitivo“-Erlebnis.;Genuss;St. Gallen;Neugasse 46;47.42472503;9.37456377;35;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://100g.sg/;0719931010;Online buchen;https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrpzCrwnTdQ7tlub2WhZ-aSIhvCoz_e_Bf9yfZi4TXYiJh9sSKkU8ZxMkyXLA0ph-ykjp3l30qHCzgCCZom3ceJ2039fupxti1zGpoPRWkamOxRO8kY6SveXd-vplFplFTCn7Hq=w408-h544-k-no
112;Restaurant Stickerei;Das Restaurant Stickerei in St. Gallen ist ein stilvoll eingerichtetes Lokal, das für seine hausgemachten Burger bekannt ist. Die Speisekarte bietet eine Auswahl an kreativen Burger-Variationen, die medium gebraten serviert werden, es sei denn, ein anderer Gargrad wird gewünscht. Neben Burgern stehen auch frische Salate und wechselnde Wochenkreationen auf dem Menü.;Genuss;St. Gallen;Oberer Graben 44;47.42199497;9.374606271;35;pro Person (variiert nach Bestellung);Egal;;;Indoor;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://www.stickerei.sg/;0712226232;Über Telefonnummer reservieren;https://lh3.googleusercontent.com/gps-cs-s/AC9h4npaUj6Xq3jwQ56ugxpmLx6aUsDq3daA2qCFb1IEsLb9YPJlOKeRaOvqcW10CDZGRxbbxrFK0AlIzIbiLRjZgwuJJoy9T4uwmiHbkqiLGvi4s4fPAInCXrf9ucyaqpQHt5p_y2BjdQ=w426-h240-k-no
113;Restaurant Facincani;Facincani ist ein elegantes italienisches Restaurant mit klassischer Karte, edler Weinkarte und aufmerksamer Bedienung. Die ruhige Atmosphäre eignet sich gut für besondere Anlässe. Authentizität steht hier im Mittelpunkt.;Genuss;St. Gallen;Gallusstrasse 39;47.42215584;9.37575288;65;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://www.facincani.ch/;0712222746;Über Telefonnummer reservieren;https://lh3.googleusercontent.com/gps-cs-s/AC9h4noapwSYZrgA-N15tFLy5c-QimMiGt5jng5zuTt58tUrwGqVt7N1Nka8MALyVtpqpoctD0H6PYQAhrTZw_VEW8SC_wJE9X2PjjkUauluBlcd-Yn9Ch_jeOCN3V72Q_Q1JgbzvW5i=w485-h240-k-no
114;Restaurant San Lorenzo;San Lorenzo bietet italienische Küche mit Fokus auf traditionelle Pasta- und Pizza in stilvollem Ambiente. Die Weinkarte ist umfangreich und passend abgestimmt. Perfekt für ein gemütliches Dinner oder besondere Anlässe.;Genuss;St. Gallen;Kugelgasse 7;47.42546386;9.377383329;35;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://www.ristorantesanlorenzo.ch/;0712221170;Über Telefonnummer reservieren;https://lh3.googleusercontent.com/p/AF1QipMlnEWxg25ZQxStLJ23KpGehsFV3yIocwVT3gkR=w408-h306-k-no
115;Restaurant Hans im Glück;Hans im Glück kombiniert moderne Burgerkreationen mit einem einzigartigen Innenraumkonzept im Birkenwald-Stil. Vegetarische und vegane Optionen stehen gleichwertig neben Fleischklassikern. Ein beliebter Treffpunkt für Jung und Alt.;Genuss;St. Gallen;Kugelgasse 3;47.42587855;9.377381235;25;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;https://hansimglueck-burgergrill.ch/burger-restaurant/st-gallen-kugelgasse/?utm_source=google&utm_medium=yext&utm_campaign=93;0715112270;Über Telefonnummer reservieren;https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq66LWlFBjhf1D9EfZoCq6XjAnxsIfVjvICNQPZVxF_tsAGr6dc0nS_7mLmsGx8BrgmDcdH6eEGhmob1l2GuN5-PcMObB0018FrlZAJpGyRliBtdjV-hUKz5bshcEexO1G_uGR94Q=w626-h240-k-no
